,separation (arcsec),5 sigma contrast,mass detection limit for 57 Myr (Mjup),mass lower limit for 38 Myr (Mjup),mass upper limit for 76 Myr (Mjup),mass detection limit for 100 Myr (Mjup),mass lower limit for 40 Myr (Mjup),mass upper limit for 600 Myr (Mjup)
192,2.45,2.3998996e-07,2.0220013,1.6795943,2.3849802,2.8190203,1.7329094,8.063979
193,2.4622502,2.3664319e-07,2.014341,1.6713794,2.3703501,2.804498,1.7247005,8.031772
194,2.4745002,2.3101151e-07,2.0012054,1.6572924,2.3452623,2.7795947,1.7106236,7.976543
195,2.4867501,2.2900329e-07,1.9964436,1.6521857,2.3361678,2.770567,1.7055206,7.956522
196,2.499,2.2971413e-07,1.9981338,1.6539983,2.3393958,2.773771,1.7073318,7.963628
197,2.51125,2.2442433e-07,1.9854274,1.6403716,2.3151276,2.7496817,1.693715,7.910204
198,2.5235002,2.2060027e-07,1.9760542,1.6303195,2.2972257,2.7319114,1.6836702,7.8707943
199,2.5357502,2.1705549e-07,1.9672195,1.620845,2.280352,2.7151623,1.6742024,7.8336487
200,2.548,2.1656781e-07,1.9659921,1.6195287,2.278008,2.7128353,1.6728872,7.8284883
201,2.56025,2.2281881e-07,1.9815125,1.6361731,2.3076506,2.7422597,1.6895196,7.893744
202,2.5725002,2.2435273e-07,1.985253,1.6401845,2.3147945,2.749351,1.693528,7.9094706
203,2.5847502,2.2590748e-07,1.9890202,1.6442246,2.3219898,2.7564933,1.6975653,7.92531
204,2.5970001,2.2993588e-07,1.9986597,1.6545624,2.3404002,2.7747684,1.7078955,7.9658394
205,2.60925,2.3279239e-07,2.0053933,1.6617836,2.3532608,2.7875342,1.7151116,7.994151
206,2.6215,2.3251971e-07,2.0047543,1.6610982,2.3520403,2.7863226,1.7144268,7.991464
207,2.6337502,2.3110167e-07,2.001418,1.6575205,2.3456686,2.7799978,1.7108516,7.9774375
208,2.6460001,2.2936248e-07,1.9972984,1.6531023,2.3378,2.7721872,1.7064365,7.9601154
209,2.65825,2.2749579e-07,1.9928412,1.6483223,2.3292873,2.7637372,1.70166,7.9413753
210,2.6705,2.2550307e-07,1.988043,1.6431766,2.3201232,2.7546406,1.6965181,7.921201
211,2.6827502,2.2340942e-07,1.9829555,1.6377206,2.3104064,2.7449954,1.6910659,7.8998103
212,2.6950002,2.2085362e-07,1.9766798,1.6309905,2.2984207,2.7330976,1.6843406,7.8734245
213,2.70725,2.1951692e-07,1.9733696,1.6274405,2.2920983,2.726822,1.6807932,7.8595066
214,2.7195,2.2038805e-07,1.9755291,1.6297565,2.296223,2.730916,1.6831075,7.8685865
